OBJECTID,FIPS,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,sumOverCount
1,41051001202,1,1116890,10052010,0,1,1,0.705389071439443,0.455867666470483,787842,2,1,0,1,0.705389071439443
2,41051001301,2,890748,8016732,0,1,1,0.725481280900996,0.446271433057558,646221,2,1,0,1,0.725481280900996
3,41051001302,3,906385,8157465,0,1,1,0.723383551139968,0.44732514917015,655664,2,1,0,1,0.723383551139968
4,41051001400,4,1453451,13081059,0,1,1,0.768321739088556,0.421904544100313,1116718,2,1,0,1,0.768321739088556
5,41051001500,5,1172981,10556829,0,1,1,0.691210684572043,0.461994019555979,810777,2,1,0,1,0.691210684572043
6,41051001601,6,3521094,31689846,0,1,1,0.657793288108753,0.474448393640265,2316152,2,1,0,1,0.657793288108753
7,41051001602,7,1992818,17935362,0,1,1,0.811214571526351,0.391338076948397,1616603,2,1,0,1,0.811214571526351
8,41051001701,8,2421446,21793014,0,1,1,0.816528223218688,0.387052817979691,1977179,2,1,0,1,0.816528223218688
9,41051001702,9,1620449,14584041,0,1,1,0.795462862453555,0.403362984061195,1289007,2,1,0,1,0.795462862453555
10,41051001801,10,1397658,12578922,0,1,1,0.782976235960442,0.412218934404595,1094333,2,1,0,1,0.782976235960442
11,41051001802,11,1294976,11654784,0,1,1,0.732262991746565,0.442779745093353,948263,2,1,0,1,0.732262991746565
12,41051001900,12,2143267,19289403,0,1,1,0.62707632786769,0.483582058078733,1343992,2,1,0,1,0.62707632786769
13,41051002e3,13,1739846,15658614,0,1,1,0.772213747653528,0.419403952757269,1343533,2,1,0,1,0.772213747653528
14,41051002100,14,2081353,18732177,0,1,1,0.872108671618894,0.333968765764139,1815166,2,1,0,1,0.872108671618894
15,41051002401,15,1007810,9070290,0,1,1,0.595176670205694,0.490857822030531,599825,2,1,0,1,0.595176670205694
16,41051002402,16,1050176,9451584,0,1,1,0.773094224206228,0.418831164916364,811885,2,1,0,1,0.773094224206228
17,41051002501,17,1600490,14404410,0,1,1,0.658407737630351,0.474243596328758,1053775,2,1,0,1,0.658407737630351
18,41051002502,18,1314713,11832417,0,1,1,0.722723514561733,0.447654147820915,950174,2,1,0,1,0.722723514561733
19,41051002600,19,1217571,10958139,0,1,1,0.711751511821487,0.452947344888249,866608,2,1,0,1,0.711751511821487
20,41051002701,20,1091501,9823509,0,1,1,0.710654410760961,0.453458619089937,775680,2,1,0,1,0.710654410760961
21,41051002702,21,1024929,9224361,0,1,1,0.803130753447312,0.397632677624042,823152,2,1,0,1,0.803130753447312
22,41051002801,22,1096657,9869913,0,1,1,0.786628818308733,0.409687588919825,862662,2,1,0,1,0.786628818308733
23,41051002802,23,1175103,10575927,0,1,1,0.761184338734562,0.426359872877115,894470,2,1,0,1,0.761184338734562
24,41051002901,24,1836947,16532523,0,1,1,0.79885211712695,0.400858344167537,1467449,2,1,0,1,0.79885211712695
25,41051002902,25,3015733,27141597,0,1,1,0.792494892618146,0.405520329690509,2389953,2,1,0,1,0.792494892618146
