long,lat,order,hole,piece,id,group,OBJECTID,GEO_ID,STATE,COUNTY,TRACT,NAME,LSAD,Id2,Geography,Total_Pop_,Spanish,Russian,Other_Slav,Other_Indi,Other_Indo,Chinese,Japanese,Korean,Mon_Khmer_,Laotian,Vietnamese,Other_Asia,Tagalog,Other_Paci,Arabic,African,Shape_Leng,Shape_Area
-122.75104100032118,45.588996999820935,1,FALSE,1,0,0.1,1,1400000US41051004102,41,051,004102,41.02,Tract,-1898668858,"Census Tract 41.02, Multnomah County, Oregon",5035,471,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8999.982091709082,4409524.076334213
-122.74924700091842,45.58954599982979,2,FALSE,1,0,0.1,1,1400000US41051004102,41,051,004102,41.02,Tract,-1898668858,"Census Tract 41.02, Multnomah County, Oregon",5035,471,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8999.982091709082,4409524.076334213
-122.74735800018274,45.59337200011829,3,FALSE,1,0,0.1,1,1400000US41051004102,41,051,004102,41.02,Tract,-1898668858,"Census Tract 41.02, Multnomah County, Oregon",5035,471,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8999.982091709082,4409524.076334213
-122.74600200044792,45.5960370000097,4,FALSE,1,0,0.1,1,1400000US41051004102,41,051,004102,41.02,Tract,-1898668858,"Census Tract 41.02, Multnomah County, Oregon",5035,471,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8999.982091709082,4409524.076334213
-122.73830899993291,45.594207999935115,5,FALSE,1,0,0.1,1,1400000US41051004102,41,051,004102,41.02,Tract,-1898668858,"Census Tract 41.02, Multnomah County, Oregon",5035,471,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8999.982091709082,4409524.076334213
-122.73267500003291,45.59282299981708,6,FALSE,1,0,0.1,1,1400000US41051004102,41,051,004102,41.02,Tract,-1898668858,"Census Tract 41.02, Multnomah County, Oregon",5035,471,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8999.982091709082,4409524.076334213
-122.72906500058772,45.591913000326954,7,FALSE,1,0,0.1,1,1400000US41051004102,41,051,004102,41.02,Tract,-1898668858,"Census Tract 41.02, Multnomah County, Oregon",5035,471,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8999.982091709082,4409524.076334213
-122.7358850003433,45.58634299993579,8,FALSE,1,0,0.1,1,1400000US41051004102,41,051,004102,41.02,Tract,-1898668858,"Census Tract 41.02, Multnomah County, Oregon",5035,471,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8999.982091709082,4409524.076334213
-122.74083200015507,45.58219099968896,9,FALSE,1,0,0.1,1,1400000US41051004102,41,051,004102,41.02,Tract,-1898668858,"Census Tract 41.02, Multnomah County, Oregon",5035,471,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8999.982091709082,4409524.076334213
-122.74707699997536,45.57699700018997,10,FALSE,1,0,0.1,1,1400000US41051004102,41,051,004102,41.02,Tract,-1898668858,"Census Tract 41.02, Multnomah County, Oregon",5035,471,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8999.982091709082,4409524.076334213
-122.75610900050675,45.58093899998105,11,FALSE,1,0,0.1,1,1400000US41051004102,41,051,004102,41.02,Tract,-1898668858,"Census Tract 41.02, Multnomah County, Oregon",5035,471,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8999.982091709082,4409524.076334213
-122.75104100032118,45.588996999820935,12,FALSE,1,0,0.1,1,1400000US41051004102,41,051,004102,41.02,Tract,-1898668858,"Census Tract 41.02, Multnomah County, Oregon",5035,471,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8999.982091709082,4409524.076334213
-122.743790999497,45.49230199978773,1,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.74357000046237,45.493035000826076,2,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.74322999890711,45.49441700008029,3,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.74270299955073,45.49538499987512,4,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.74228599890091,45.49586900077425,5,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.73980399958496,45.49782099963208,6,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.73282999984362,45.49794300026549,7,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.72971599979267,45.498398999188225,8,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.72909700037478,45.4979339998975,9,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.72689100034505,45.49817099987362,10,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.72613300011167,45.49763700016899,11,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.72655599971097,45.49484900028563,12,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.72685899965967,45.49433999968987,13,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.72871999990791,45.49114399988978,14,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.72904600032118,45.49073899975644,15,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.7303650002461,45.48826199989344,16,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.73162100132015,45.487030000664454,17,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.74374500126285,45.487084000711725,18,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.74375299986214,45.48784700027818,19,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.74376799993078,45.489187999850316,20,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.74378599947411,45.49080399970191,21,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.743790999497,45.49230199978773,22,FALSE,1,1,1.1,2,1400000US41051006801,41,051,006801,68.01,Tract,-1898666159,"Census Tract 68.01, Multnomah County, Oregon",2295,28,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6604.496202649745,2879461.5634368164
-122.57372300093635,45.55444300002641,1,FALSE,1,2,2.1,3,1400000US41051007800,41,051,007800,78,Tract,-1898665160,"Census Tract 78, Multnomah County, Oregon",1764,136,0,0,0,6,4,0,3,0,0,56,0,7,7,0,0,11258.735998788961,2244880.808575779
-122.57065300126636,45.555690999899014,2,FALSE,1,2,2.1,3,1400000US41051007800,41,051,007800,78,Tract,-1898665160,"Census Tract 78, Multnomah County, Oregon",1764,136,0,0,0,6,4,0,3,0,0,56,0,7,7,0,0,11258.735998788961,2244880.808575779
-122.56822499968216,45.55539399925796,3,FALSE,1,2,2.1,3,1400000US41051007800,41,051,007800,78,Tract,-1898665160,"Census Tract 78, Multnomah County, Oregon",1764,136,0,0,0,6,4,0,3,0,0,56,0,7,7,0,0,11258.735998788961,2244880.808575779
-122.56796600011438,45.55679000001864,4,FALSE,1,2,2.1,3,1400000US41051007800,41,051,007800,78,Tract,-1898665160,"Census Tract 78, Multnomah County, Oregon",1764,136,0,0,0,6,4,0,3,0,0,56,0,7,7,0,0,11258.735998788961,2244880.808575779
-122.56722700014758,45.55706600044253,5,FALSE,1,2,2.1,3,1400000US41051007800,41,051,007800,78,Tract,-1898665160,"Census Tract 78, Multnomah County, Oregon",1764,136,0,0,0,6,4,0,3,0,0,56,0,7,7,0,0,11258.735998788961,2244880.808575779
-122.5612440002681,45.55932899969219,6,FALSE,1,2,2.1,3,1400000US41051007800,41,051,007800,78,Tract,-1898665160,"Census Tract 78, Multnomah County, Oregon",1764,136,0,0,0,6,4,0,3,0,0,56,0,7,7,0,0,11258.735998788961,2244880.808575779
-122.55776399962095,45.559118000002535,7,FALSE,1,2,2.1,3,1400000US41051007800,41,051,007800,78,Tract,-1898665160,"Census Tract 78, Multnomah County, Oregon",1764,136,0,0,0,6,4,0,3,0,0,56,0,7,7,0,0,11258.735998788961,2244880.808575779
-122.557766999994,45.55538899982463,8,FALSE,1,2,2.1,3,1400000US41051007800,41,051,007800,78,Tract,-1898665160,"Census Tract 78, Multnomah County, Oregon",1764,136,0,0,0,6,4,0,3,0,0,56,0,7,7,0,0,11258.735998788961,2244880.808575779
-122.55775099920216,45.54810600002399,9,FALSE,1,2,2.1,3,1400000US41051007800,41,051,007800,78,Tract,-1898665160,"Census Tract 78, Multnomah County, Oregon",1764,136,0,0,0,6,4,0,3,0,0,56,0,7,7,0,0,11258.735998788961,2244880.808575779
-122.55782999974319,45.54614000068179,10,FALSE,1,2,2.1,3,1400000US41051007800,41,051,007800,78,Tract,-1898665160,"Census Tract 78, Multnomah County, Oregon",1764,136,0,0,0,6,4,0,3,0,0,56,0,7,7,0,0,11258.735998788961,2244880.808575779
-122.55923300113035,45.54466100065406,11,FALSE,1,2,2.1,3,1400000US41051007800,41,051,007800,78,Tract,-1898665160,"Census Tract 78, Multnomah County, Oregon",1764,136,0,0,0,6,4,0,3,0,0,56,0,7,7,0,0,11258.735998788961,2244880.808575779
-122.56007000010811,45.54224099990658,12,FALSE,1,2,2.1,3,1400000US41051007800,41,051,007800,78,Tract,-1898665160,"Census Tract 78, Multnomah County, Oregon",1764,136,0,0,0,6,4,0,3,0,0,56,0,7,7,0,0,11258.735998788961,2244880.808575779
-122.56092000130131,45.53660899996312,13,FALSE,1,2,2.1,3,1400000US41051007800,41,051,007800,78,Tract,-1898665160,"Census Tract 78, Multnomah County, Oregon",1764,136,0,0,0,6,4,0,3,0,0,56,0,7,7,0,0,11258.735998788961,2244880.808575779
-122.56331899987825,45.533999999122884,14,FALSE,1,2,2.1,3,1400000US41051007800,41,051,007800,78,Tract,-1898665160,"Census Tract 78, Multnomah County, Oregon",1764,136,0,0,0,6,4,0,3,0,0,56,0,7,7,0,0,11258.735998788961,2244880.808575779
-122.5647420004586,45.53323399976915,15,FALSE,1,2,2.1,3,1400000US41051007800,41,051,007800,78,Tract,-1898665160,"Census Tract 78, Multnomah County, Oregon",1764,136,0,0,0,6,4,0,3,0,0,56,0,7,7,0,0,11258.735998788961,2244880.808575779
