X,Y,Date_Inventoried,Species,Condition,Neighborhood,Family,Genus,Common,Size
-122.547110760987,45.4853813570263,2015-06-27,FR,Good,POWELLHURST-GILBERT,Oleaceae,Fraxinus,ash,M
-122.648608229395,45.5030724930127,2012-07-21,MG,Good,HOSFORD-ABERNETHY,Magnoliaceae,Magnolia,"magnolia, deciduous",M
-122.656548212714,45.467840022229,2011-09-02,ACPA,Good,SELLWOOD-MORELAND,Sapindaceae,Acer,"maple, Japanese",S
-122.694168858211,45.4885392183789,2016-07-07,ACMA,Poor,HILLSDALE,Sapindaceae,Acer,"maple, bigleaf",L
-122.633776099925,45.5152994274635,2012-07-29,AC,Good,SUNNYSIDE,Sapindaceae,Acer,"maple, other",M
-122.627309373434,45.4997541253618,2013-08-17,MG,Good,RICHMOND,Magnoliaceae,Magnolia,"magnolia, deciduous",M
-122.610410372311,45.5350834921521,NA,LAIN,Fair,ROSE CITY PARK,Lythraceae,Lagerstroemia,crape myrtle,S
-122.680136077528,45.5315027057216,2016-05-11,ACRU,Fair,PEARL,Sapindaceae,Acer,"maple, red",M
-122.698909745869,45.5353795171932,2012-07-28,ACRU,Fair,NORTHWEST DISTRICT,Sapindaceae,Acer,"maple, red",M
-122.662907533934,45.5546478616219,2015-09-24,STJA,Good,KING,Styracaceae,Styrax,snowbell,S
-122.625310558147,45.5042344129969,2013-07-20,QU,Good,RICHMOND,Fagaceae,Quercus,"oak, deciduous",L
-122.687036035429,45.5820243666076,2011-06-25,GLTR,Fair,KENTON,Leguminosae,Gleditsia,honey locust,L
-122.528563146501,45.5358468436567,2016-05-14,PSME,Fair,RUSSELL,Pinaceae,Pseudotsuga,Douglas-fir,L
-122.676294246264,45.5029369034049,2015-05-09,ACGR,Good,SOUTH PORTLAND,Sapindaceae,Acer,"maple, paperbark",S
-122.633765649823,45.5574133829577,2010-10-22,MG,Fair,CONCORDIA,Magnoliaceae,Magnolia,"magnolia, deciduous",M
-122.596230994659,45.5531853361375,2015-06-20,CO,Fair,ROSEWAY,Cornaceae,Cornus,dogwood,S
-122.635570106514,45.4915212939338,2016-08-11,ACGR,Fair,CRESTON-KENILWORTH,Sapindaceae,Acer,"maple, paperbark",S
-122.619700748979,45.5185479367319,2012-07-07,GIBI,Good,SUNNYSIDE,Ginkgoaceae,Ginkgo,ginkgo,L
-122.682441442008,45.5596021327473,2011-06-25,BE,Fair,OVERLOOK,Betulaceae,Betula,birch,M
-122.68591389501,45.5128017135943,2013-07-27,TI,Good,DOWNTOWN,Malvaceae,Tilia,linden,L
-122.692496392781,45.4818938030915,2016-07-11,PSME,Fair,HILLSDALE,Pinaceae,Pseudotsuga,Douglas-fir,L
-122.628916951755,45.4851225957794,2016-07-26,PI,Fair,REED,Pinaceae,Pinus,pine,L
-122.654556467168,45.5459208150125,2015-07-16,ACRU,Fair,IRVINGTON,Sapindaceae,Acer,"maple, red",M
-122.590783617962,45.5323890644532,2015-08-07,CO,Fair,MONTAVILLA,Cornaceae,Cornus,dogwood,S
-122.667901141936,45.5499974301871,2014-09-12,PY,Fair,BOISE,Rosaceae,Pyrus,pear,M
-122.618223235932,45.52394486185,2014-07-28,ACPA,Good,LAURELHURST,Sapindaceae,Acer,"maple, Japanese",S
-122.621506068951,45.4998515558105,2013-08-17,NYSY,Fair,RICHMOND,Cornaceae,Nyssa,tupelo,M
-122.648183833814,45.4781851878198,2011-07-21,PY,Fair,SELLWOOD-MORELAND,Rosaceae,Pyrus,pear,M
-122.678164885436,45.5258345339772,NA,ACRU,Fair,PEARL,Sapindaceae,Acer,"maple, red",M
-122.638808139651,45.5098312107189,2012-08-04,PRCH,Fair,HOSFORD-ABERNETHY,Rosaceae,Prunus,cherry,S
-122.738630462057,45.5867771127218,2011-09-28,PY,Good,ST. JOHNS,Rosaceae,Pyrus,pear,M
-122.648693749908,45.4567410145946,2011-07-14,PRPL,Poor,SELLWOOD-MORELAND,Rosaceae,Prunus,plum,S
-122.626653775754,45.5129434723916,2012-08-04,LIST,Good,SUNNYSIDE,Altingiaceae,Liquidambar,sweetgum,M
-122.627965454409,45.5291867302063,2014-06-28,CO,Fair,LAURELHURST,Cornaceae,Cornus,dogwood,S
-122.691674354346,45.517385660730604,2016-05-03,PY,Fair,GOOSE HOLLOW,Rosaceae,Pyrus,pear,M
-122.651136658136,45.480804027094,2011-07-17,AC,Good,SELLWOOD-MORELAND,Sapindaceae,Acer,"maple, other",M
-122.702585265736,45.4787834409667,2016-06-23,LAAN,Fair,HILLSDALE,Leguminosae,Laburnum,golden chain tree,S
-122.622644950373,45.5339815719526,NA,PRCH,Fair,HOLLYWOOD,Rosaceae,Prunus,cherry,S
-122.520729540779,45.5071713756952,2015-07-10,PY,Fair,HAZELWOOD,Rosaceae,Pyrus,pear,M
-122.671437970008,45.4736405947583,2016-07-05,FR,Fair,SOUTH PORTLAND,Oleaceae,Fraxinus,ash,M
-122.610154521338,45.5389918987837,2016-07-27,AC,Fair,ROSE CITY PARK,Sapindaceae,Acer,"maple, other",M
-122.620112077666,45.5406260480378,2016-07-16,MA,Fair,GRANT PARK,Rosaceae,Malus,crabapple,S
-122.760658036766,45.5909230413973,2013-07-10,MA,Fair,CATHEDRAL PARK,Rosaceae,Malus,crabapple,S
-122.614807743306,45.5447820164535,2016-08-19,TI,Fair,BEAUMONT-WILSHIRE,Malvaceae,Tilia,linden,L
-122.582748485987,45.5484497394738,2015-08-29,ACPA,Fair,ROSEWAY,Sapindaceae,Acer,"maple, Japanese",S
-122.574372446055,45.5600522764322,2015-05-26,AC,Good,SUMNER,Sapindaceae,Acer,"maple, other",M
-122.739949615594,45.5911608880497,2011-09-10,ROPS,Poor,ST. JOHNS,Leguminosae,Robinia,black locust,M
-122.639030827519,45.5428014371296,NA,CHRE,Good,ALAMEDA,Oleaceae,Chionanthus,fringe tree,S
-122.621190472825,45.5216536936844,2014-07-27,FR,Good,LAURELHURST,Oleaceae,Fraxinus,ash,M
-122.579948598943,45.5321815945523,2015-06-20,CR,Fair,MONTAVILLA,Rosaceae,Crataegus,hawthorn,S
-122.662711535912,45.5618169972823,2015-09-24,ACPL,Fair,KING,Sapindaceae,Acer,"maple, Norway",M
-122.609032707008,45.4893538319967,2013-08-24,SA,Good,WOODSTOCK,Salicaceae,Salix,willow,M
-122.671138887612,45.5523494884739,2014-08-06,PRCH,Fair,BOISE,Rosaceae,Prunus,cherry,S
-122.634909318367,45.5019003832644,2013-09-19,CO,Fair,RICHMOND,Cornaceae,Cornus,dogwood,S
-122.554869969135,45.5499058797392,2015-08-15,KOPA,Good,PARKROSE,Sapindaceae,Koelreuteria,golden rain tree,M
-122.673866917518,45.4731392206642,2016-07-05,ACRU,Good,SOUTH PORTLAND,Sapindaceae,Acer,"maple, red",M
-122.574978496258,45.4887503727394,2016-07-13,PRPL,Fair,LENTS,Rosaceae,Prunus,plum,S
-122.599538291497,45.5240932808711,2015-08-08,CO,Fair,NORTH TABOR,Cornaceae,Cornus,dogwood,S
-122.582941810622,45.5578435152418,2014-09-13,ACMA,Fair,CULLY,Sapindaceae,Acer,"maple, bigleaf",L
-122.643532169525,45.5165308913393,2015-08-01,GLTR,Good,BUCKMAN,Leguminosae,Gleditsia,honey locust,L
-122.644745249094,45.4600913236612,2011-07-27,ACPL,Fair,SELLWOOD-MORELAND,Sapindaceae,Acer,"maple, Norway",M
-122.657468755912,45.5446734525496,2015-09-17,CLLU,Good,IRVINGTON,Leguminosae,Cladrastis,yellow wood,M
-122.61726651129,45.4866233983708,2013-10-11,BE,Fair,WOODSTOCK,Betulaceae,Betula,birch,M
-122.489119453678,45.5150902169948,2015-10-20,PRCH,Fair,CENTENNIAL,Rosaceae,Prunus,cherry,S
-122.674571043089,45.5506916155337,2014-07-28,PY,Fair,BOISE,Rosaceae,Pyrus,pear,M
-122.613409066408,45.5009364759732,2013-09-07,CL,Poor,RICHMOND,Verbenaceae,Clerodendrum,glorybower,S
-122.611107739856,45.476355181914,2013-09-15,FR,Fair,WOODSTOCK,Oleaceae,Fraxinus,ash,M
-122.627697057565,45.5635332926055,2010-08-21,PRPL,Poor,CONCORDIA,Rosaceae,Prunus,plum,S
-122.650286916556,45.4600932347048,2011-09-10,QU,Good,SELLWOOD-MORELAND,Fagaceae,Quercus,"oak, deciduous",L
-122.757708001712,45.5904410581868,2013-06-29,AC,Fair,CATHEDRAL PARK,Sapindaceae,Acer,"maple, other",M
-122.715504692422,45.4669542495079,2016-08-18,PY,Fair,MULTNOMAH,Rosaceae,Pyrus,pear,M
-122.632552168706,45.5236632528284,2014-07-07,ACPL,Good,KERNS,Sapindaceae,Acer,"maple, Norway",M
-122.671094203613,45.5344770734651,2014-05-05,FR,Fair,ELIOT,Oleaceae,Fraxinus,ash,M
-122.619401693533,45.5088303694697,2013-08-07,QU,Good,RICHMOND,Fagaceae,Quercus,"oak, deciduous",L
-122.737474065283,45.5958163866521,2011-08-20,PY,Fair,ST. JOHNS,Rosaceae,Pyrus,pear,M
-122.653403536993,45.5599682585142,2015-07-22,PRPL,Good,KING,Rosaceae,Prunus,plum,S
-122.658528002582,45.5395602534662,2015-09-08,ACPL,Fair,IRVINGTON,Sapindaceae,Acer,"maple, Norway",M
-122.520598525088,45.5398379951667,2016-05-19,PRCH,Fair,RUSSELL,Rosaceae,Prunus,cherry,S
-122.583800660221,45.5570317174685,2014-09-13,NYSY,Good,CULLY,Cornaceae,Nyssa,tupelo,M
-122.651767809963,45.5589867275118,2015-07-22,OS,Fair,KING,Betulaceae,Ostrya,hophornbeam,M
-122.585660241131,45.5551229951114,2015-09-02,PRPL,Fair,ROSEWAY,Rosaceae,Prunus,plum,S
-122.626681663952,45.5668848244618,2010-08-21,MA,Poor,CONCORDIA,Rosaceae,Malus,crabapple,S
