qualifying_name,fips,census_tract,total_population,population_density,area,white,black,am_indian,asian,pac_isl,other_race,two_more_races,below_hs,hs_degree,some_college,bachelors_degree,masters_degree,professional_school_degree,doctorate_degree,unemployment_rate,hhs_less_10k,hhs_10k_14999,hhs_15k_19999,hhs_20k_24999,hhs_25k_29999,hhs_30k_34999,hhs_35k_39999,hhs_40k_44999,hhs_45k_49999,hhs_50k_59999,hhs_60k_74999,hhs_75k_99999,hhs_100k_124999,hhs_125k_149999,hhs_150k_199999,hhs_200k_more,med_family_income,med_nonfamily_income,hhs_with_no_earnings,hhs_capital_income,hhs_social_security,hhs_ssi,hhs_public_assistance_income,hhs_retirement_income,renter_occupied_units,owner_occupied_units,10_less_commute,% Workers 16 Years and Over: Did Not Work At Home,Workers 16 Years and Over: Worked At Home_1,Workers 16 Years and Over: Did Not Work At Home: 90 or More Minutes,Workers 16 Years and Over: Did Not Work At Home: 60 to 89 Minutes,Workers 16 Years and Over: Did Not Work At Home: 40 to 59 Minutes,Workers 16 Years and Over: Did Not Work At Home: 30 to 39 Minutes,Workers 16 Years and Over: Did Not Work At Home: 20 to 29 Minutes,Workers 16 Years and Over: Did Not Work At Home: 10 to 19 Minutes,Workers 16 Years and Over: Did Not Work At Home: Less than 10 Minutes,Workers 16 Years and Over: Did Not Work At Home,Workers 16 Years and Over:_1,no_commute
"Block Group 1, Census Tract 1, Multnomah County, Oregon",410510001001,100,675,889.5516,0.75880930722459,80.3,0,0,12,0,3.41,4.3,5.11,17.28,16.58,26.98,23.28,4.23,6.53,2.99,0,0,0,0,0,0,0,10.37,3.68,8.03,19.4,8.03,15.38,13.38,5.02,16.72,100139,70481,17.06,48.83,38.46,3.68,0,23.75,25.42,74.58,15.38,90.11,45,0,0,39,154,91,56,70,410,455,9.89
"Block Group 2, Census Tract 1, Multnomah County, Oregon",410510001002,100,1106,9589.08,0.115339530530643,89.51,0,0,1.18,0,1.81,7.5,1.55,3.48,22.32,33.68,20,15.48,3.48,0,6.97,3.82,6.07,0,0,7.87,2.7,0,4.04,5.84,3.15,13.48,6.74,19.78,7.64,11.91,79946,34e3,19.78,35.51,23.15,0,0,13.71,22.47,77.53,8.13,84.63,87,0,15,15,85,188,130,46,479,566,15.37
"Block Group 3, Census Tract 1, Multnomah County, Oregon",410510001003,100,769,9939.073,0.0773714009485758,91.29,0,0,0,2.21,6.5,0,0,3.47,55.11,14.9,23.4,0,3.12,8.77,0,0,4.56,3.99,0,0,16.81,0,4.56,22.22,5.41,15.38,10.26,0,9.12,7.69,59682,58623,7.98,24.5,9.4,0,0,12.82,61.25,38.75,0,87.64,45,15,0,18,114,172,0,0,319,364,12.36
"Block Group 4, Census Tract 1, Multnomah County, Oregon",410510001004,100,1253,10771.45,0.116326021587745,96.01,0,0,1.68,0,0,2.31,0,12.42,34.9,30.84,16.7,5.14,0,7.08,3.21,9.83,0,0,6.81,14.93,0,0,8.13,11.91,2.08,16.64,6.43,5.67,8.13,6.24,51488,29618,31.19,37.24,30.62,3.59,5.29,8.51,61.63,38.37,6.17,80,120,0,16,35,121,191,80,37,480,600,20
"Block Group 5, Census Tract 1, Multnomah County, Oregon",410510001005,100,648,7910.597,0.0819154374460422,94.6,0,0.93,2.01,0,0,2.47,0,7.65,29.87,33.88,20.4,4.37,3.83,0.25,0,0,12.66,0,0,4.43,5.7,0,4.11,10.44,4.11,9.18,24.05,5.06,4.43,15.82,89545,75833,14.24,36.39,18.67,0,0,11.39,34.81,65.19,4.01,91.98,32,14,0,44,59,136,98,16,367,399,8.02
"Block Group 6, Census Tract 1, Multnomah County, Oregon",410510001006,100,862,9824.98,0.0877355416318531,90.37,0,0,0,0,0,9.63,0,14.19,24.4,37.93,13.53,8.09,1.86,3.25,0,0,0,0,3.56,9.8,3.56,12.69,4.01,18.49,6.9,10.02,7.57,3.12,10.02,10.24,57151,56746,12.92,43.43,31.85,0,0,24.94,35.86,64.14,3.35,96.44,17,93,19,0,108,145,79,16,460,477,3.56
"Block Group 7, Census Tract 1, Multnomah County, Oregon",410510001007,100,980,7342.021,0.133478224609535,87.55,0,9.49,1.43,0,1.53,0,0,13.81,38.21,17.43,23.85,6.69,0,10.34,15.96,3.99,4.43,3.33,0,3.77,0,3.33,0,10.64,4.66,11.09,6.43,9.31,5.32,17.74,62440,48750,23.95,32.82,19.51,7.76,0,6.65,50.55,49.45,3.25,93.29,31,64,16,62,100,93,81,15,431,462,6.71
"Block Group 1, Census Tract 2, Multnomah County, Oregon",410510002001,200,1480,6573.551,0.225144672484969,82.77,0,1.82,3.18,0,4.8,7.43,0,9.14,31.43,42.38,9.52,0,7.52,4.87,5,12.74,0,6.13,13.23,5.48,7.74,2.42,0,3.06,18.55,10,4.84,2.9,4.84,3.06,39737,23750,12.58,19.19,15.81,7.58,8.55,2.42,58.71,41.29,3.45,82.52,157,0,49,88,180,233,160,31,741,898,17.48
"Block Group 2, Census Tract 2, Multnomah County, Oregon",410510002002,200,2045,8954.532,0.228375961587467,92.03,0.64,1.17,1.66,0,0,4.5,2.65,10.04,38.69,30.99,14.79,1.17,1.66,5.11,13.94,6.5,7.82,1.13,5.56,2.26,0,0,1.6,5.08,14.31,12.81,10.26,6.59,2.26,9.89,64925,19833,41.15,37.57,41.62,4.99,1.79,14.88,47.55,52.45,0.68,90.09,87,32,0,17,157,299,280,6,791,878,9.91
"Block Group 3, Census Tract 2, Multnomah County, Oregon",410510002003,200,1978,7397.455,0.267389269757234,81.85,0,0.61,2.02,1.16,0,14.36,2.86,7.35,31.97,32.72,15.37,8.03,1.7,9.97,4.68,2.28,0,9.49,1.9,0,1.9,2.15,3.8,10.63,11.65,19.49,8.23,7.85,4.18,11.77,76579,46328,8.35,34.94,9.49,4.18,1.9,7.72,47.34,52.66,5.22,90.36,96,0,35,111,259,275,168,52,900,996,9.64
"Block Group 4, Census Tract 2, Multnomah County, Oregon",410510002004,200,1112,5942.423,0.187129052335378,89.3,0,0.81,8.36,0,0,1.53,7.29,16.17,20.4,45.56,8.46,0,2.11,0,14.07,12.23,8.21,0,3.02,1.84,0,8.21,4.19,8.71,15.24,10.55,7.71,0,4.19,1.84,46450,NA,31.49,18.76,40.37,6.7,9.38,11.06,66.83,33.17,15.97,93.39,41,33,37,18,115,142,135,99,579,620,6.61
"Block Group 1, Census Tract 3.01, Multnomah County, Oregon",410510003011,301,1278,12716.75,0.100497376821823,92.72,0,0,6.1,0,0,1.17,8.35,21.79,31.77,22.91,12.73,1.32,1.12,4.43,7.91,11.6,5.45,0,2.99,1.93,2.28,10.54,8.08,8.26,6.5,9.67,11.07,4.57,9.14,0,47255,NA,24.43,22.85,36.38,12.83,7.21,19.68,47.1,52.9,22.32,89.44,70,0,33,29,54,211,118,148,593,663,10.56
"Block Group 2, Census Tract 3.01, Multnomah County, Oregon",410510003012,301,1495,2714.697,0.550706026437188,77.53,2.41,1.07,8.56,0,2.81,7.63,3.16,11.07,28.66,31.62,22.73,0,2.77,10.26,11.44,5.9,0,0,5.9,0,0,10.33,0,11.07,5.54,11.81,20.3,0,4.06,13.65,72417,44018,40.59,46.49,29.15,0,0,28.78,39.48,60.52,31.93,90.48,68,8,0,31,84,121,174,228,646,714,9.52
"Block Group 3, Census Tract 3.01, Multnomah County, Oregon",410510003013,301,1548,9339.965,0.165739377943064,92.05,0.06,0,7.88,0,0,0,4.42,22.53,26.95,31.26,12.11,2.74,0,11.18,5.7,18.89,8.56,5.7,0,2.85,12.83,6.95,0,2.5,8.2,10.34,11.05,2.5,3.92,0,37473,16591,31.73,31.73,36.9,2.67,2.67,11.94,54.72,45.28,3.11,92.44,51,0,18,64,85,222,214,21,624,675,7.56
"Block Group 4, Census Tract 3.01, Multnomah County, Oregon",410510003014,301,1110,18543.59,0.0598589645975194,72.07,4.23,0,8.38,2.07,0,13.24,2.82,15.04,37.02,25.85,12.1,7.17,0,11.22,8.84,7.97,7.54,11.16,4.2,9.42,12.9,9.86,2.61,11.3,2.03,2.17,2.46,1.88,5.65,0,35203,34006,6.67,9.57,4.2,0,2.61,0,93.48,6.52,10.39,89.74,76,82,0,64,204,194,44,77,665,741,10.26
"Block Group 1, Census Tract 3.02, Multnomah County, Oregon",410510003021,302,1453,8743.819,0.166174515094278,88.99,0,0,2.48,0,0,8.53,0,2.5,15.67,29.54,27.35,13.57,11.38,5.91,0,4.71,0,3.53,2.35,0,5.49,3.33,0,6.67,5.69,3.73,13.73,3.33,7.06,40.39,128088,NA,12.35,49.02,18.04,0,0,21.37,3.14,96.86,11.17,90.5,68,0,48,10,149,114,247,80,648,716,9.5
"Block Group 2, Census Tract 3.02, Multnomah County, Oregon",410510003022,302,1172,5890.14,0.198976597574969,84.47,0,1.37,9.56,0,1.45,3.16,5.78,16.1,29.62,22.39,20.12,3.92,2.06,4.42,2.33,2.14,8.95,10.51,2.14,10.31,3.11,3.11,2.53,5.45,7,11.09,5.84,3.11,12.65,9.73,57031,22269,32.3,35.02,31.91,5.06,5.06,21.98,18.09,81.91,4.53,96.09,25,0,59,75,130,176,146,29,615,640,3.91
"Block Group 3, Census Tract 3.02, Multnomah County, Oregon",410510003023,302,802,7392.381,0.108490077946307,97.38,0,0,0,0,0,2.62,1.59,13.4,29.68,43.52,11.82,0,0,7.36,0,4.08,3.79,0,3.5,0,0,0,9.04,15.16,3.21,25.36,16.62,3.79,11.95,3.5,77348,55982,21.28,40.82,28.57,0,0,18.95,10.5,89.5,0,92.68,35,0,69,67,129,149,29,0,443,478,7.32
"Block Group 4, Census Tract 3.02, Multnomah County, Oregon",410510003024,302,1622,3690.294,0.43953138006817,96.42,0,0,1.17,0,0,2.4,2.76,4.36,31.79,34.11,23.51,2.05,1.42,4.57,4.87,2.26,2.78,2.61,3.13,2.26,0,4.52,0,7.3,8.17,9.39,17.57,12.35,7.65,15.13,102279,34038,9.39,29.04,21.22,0,0,20,12.87,87.13,6.88,96.51,32,2,55,151,287,122,204,63,884,916,3.49
"Block Group 5, Census Tract 3.02, Multnomah County, Oregon",410510003025,302,1048,6976.47,0.15021922881496,97.71,0,0,0.86,0,0,1.43,0,6.3,21.71,34.73,22.27,9.8,5.18,1.97,4.73,3.48,0,0,0,0,3.23,3.48,0,2.74,5.97,16.17,20.15,7.71,10.95,21.39,108409,NA,18.41,43.28,31.09,0,0,19.65,7.71,92.29,0,94.82,30,60,17,64,90,163,155,0,549,579,5.18
"Block Group 6, Census Tract 3.02, Multnomah County, Oregon",410510003026,302,1068,6240.273,0.171146352801635,91.95,0,0,5.24,0,0,2.81,0,9.95,15.78,39.68,22.21,11.77,0.61,8.03,0,0,0,0,2.86,0,0,0,0,1.82,4.95,14.06,18.75,13.8,3.12,40.62,145962,NA,11.98,66.67,31.25,0,0,25.26,10.16,89.84,11.76,100,0,0,39,99,64,245,18,62,527,527,0
"Block Group 1, Census Tract 4.01, Multnomah County, Oregon",410510004011,401,1408,10261.91,0.137206427211246,94.32,0,0,4.4,0,0.57,0.71,5.01,13.75,27.69,31.42,12.84,4.46,4.83,9.05,8.29,1.82,0,4.64,3.98,1,7.13,0,2.99,12.27,20.56,16.42,9.95,6.14,4.81,0,68665,65625,13.93,18.24,19.07,1.16,2.49,16.25,35.99,64.01,3.22,97.45,19,6,18,141,124,165,248,24,726,745,2.55
"Block Group 2, Census Tract 4.01, Multnomah County, Oregon",410510004012,401,613,4820.345,0.127169315070186,75.2,0,0,16.97,0,2.45,5.38,9,15.06,25.31,27.41,15.06,6.28,1.88,8.12,3.72,0,3.72,0,2.48,0,4.13,4.13,9.5,9.09,12.4,7.02,23.55,11.98,5.37,2.89,95294,60417,11.57,26.03,22.73,7.44,15.29,21.49,28.1,71.9,3.92,90.2,30,17,19,39,46,102,41,12,276,306,9.8
"Block Group 3, Census Tract 4.01, Multnomah County, Oregon",410510004013,401,1108,6202.96,0.178624379726856,92.87,0,0,2.89,0,0,4.24,4.84,18.81,11.49,48.65,11.6,2.25,2.36,4.3,0,0,2.91,2.18,9.22,0,6.8,2.18,2.18,5.83,19.42,17.96,15.29,6.8,3.88,5.34,74722,70972,14.08,29.37,19.17,0,1.46,2.91,26.21,73.79,0,86.19,87,0,43,65,135,131,169,0,543,630,13.81
"Block Group 4, Census Tract 4.01, Multnomah County, Oregon",410510004014,401,724,8959.755,0.0808057797951187,93.78,0,0,6.22,0,0,0,1.73,5.95,25.14,32.44,20.54,12.28,1.92,1.58,0,2.71,0,0,8.53,0,9.3,0,0,8.14,5.81,14.34,14.34,13.57,9.3,13.95,106071,NA,8.14,41.09,24.81,0,3.88,12.02,7.36,92.64,8.08,87.65,52,0,10,48,104,79,94,34,369,421,12.35
"Block Group 1, Census Tract 4.02, Multnomah County, Oregon",410510004021,402,1177,7420.464,0.158615406712309,78.16,0,1.36,13.51,0,1.78,5.18,4.83,19.42,28.22,29.61,14.27,2.58,1.07,2.65,4.72,0,1.89,8.68,8.3,5.47,2.83,2.45,4.34,8.49,2.64,26.98,10.94,6.98,3.77,1.51,75109,47031,21.51,25.47,24.34,2.83,4.15,15.85,29.81,70.19,6.01,93.99,42,28,14,78,148,144,203,42,657,699,6.01
"Block Group 2, Census Tract 4.02, Multnomah County, Oregon",410510004022,402,829,6049.652,0.1370326812325,83.96,1.69,0.24,11.58,0,0,2.53,10.99,12.38,27.4,31.89,14.09,2.01,1.24,3.17,0,0,2.02,2.31,9.54,0,2.89,11.56,7.23,7.51,14.45,17.05,13.87,0,11.56,0,62857,42135,11.27,30.06,18.79,0,0,10.98,18.21,81.79,12.23,94.24,24,10,0,85,81,105,61,51,393,417,5.76
"Block Group 3, Census Tract 4.02, Multnomah County, Oregon",410510004023,402,1307,8358.988,0.156358639499488,90.44,0.84,0.38,6.73,0,0.84,0.77,3.75,24.5,37.97,25.17,5.52,3.09,0,1.47,1.86,0,1.86,1.65,0,7.64,0,8.68,4.96,11.57,9.09,31.61,13.84,3.1,4.13,0,78152,56528,10.74,22.73,22.31,0,0,10.74,32.85,67.15,11.8,98.37,12,48,16,68,192,200,114,87,725,737,1.63
"Block Group 1, Census Tract 5.01, Multnomah County, Oregon",410510005011,501,641,6439.183,0.0995467932669958,76.6,0,1.56,16.54,0,2.18,3.12,5.4,28.94,22.25,23.76,14.69,0,4.97,2.65,17.99,3.81,6.92,0,5.19,9.34,0,5.19,3.11,5.88,6.23,19.38,11.76,2.42,0,2.77,46250,52721,17.3,25.26,19.38,4.5,3.11,12.11,50.17,49.83,1.9,95.24,15,25,0,32,81,91,65,6,300,315,4.76
"Block Group 2, Census Tract 5.01, Multnomah County, Oregon",410510005012,501,1210,11750.65,0.102973063967864,66.45,0,3.47,14.55,0,3.06,12.48,15.26,20.27,41.09,14.48,8.13,0.78,0,19.52,16.48,0,1.98,8.79,4.84,0,3.3,5.49,1.32,26.59,11.43,12.31,3.3,2.42,1.76,0,52788,51976,9.23,30.99,22.86,14.07,13.19,10.33,43.3,56.7,4.16,97.43,13,28,47,50,119,174,53,21,492,505,2.57
"Block Group 3, Census Tract 5.01, Multnomah County, Oregon",410510005013,501,854,6843.192,0.124795558898342,79.98,0,0.94,8.08,0,1.29,9.72,3.12,19.69,33.44,19.06,15.94,7.34,1.41,5.97,6.28,10.8,1.51,7.04,7.04,7.29,2.26,0,6.28,12.81,9.8,15.83,2.26,4.52,2.01,4.27,50789,24554,19.85,29.4,20.85,3.52,0,10.8,31.66,68.34,0,85.32,75,0,0,53,58,194,131,0,436,511,14.68
"Block Group 4, Census Tract 5.01, Multnomah County, Oregon",410510005014,501,1299,11994.02,0.108303976697962,91.69,0,0,2.69,0,0,5.62,8.92,16.51,37.59,27.46,7.5,0,2.03,10.51,8.28,1.24,8.49,1.86,2.9,2.28,5.8,7.04,5.59,8.28,7.87,18.43,5.38,7.45,6.83,2.28,56969,36652,7.25,24.84,11.8,7.04,6.63,3.52,40.17,59.83,6.15,88.81,100,23,32,59,240,264,121,55,794,894,11.19
"Block Group 1, Census Tract 5.02, Multnomah County, Oregon",410510005021,502,876,5922.414,0.147912654421565,77.4,0,0,15.98,0,1.94,4.68,16.34,18.29,38.26,14.01,13.1,0,0,0,3.28,16.12,2.99,6.57,0,13.13,4.78,8.06,3.88,10.15,15.82,2.09,2.69,6.87,3.58,0,41544,31149,6.27,7.76,25.97,5.97,2.69,14.63,66.27,33.73,5.33,95.62,23,0,25,45,142,128,134,28,502,525,4.38
"Block Group 2, Census Tract 5.02, Multnomah County, Oregon",410510005022,502,758,10401.5,0.0728740828142833,75.2,3.3,0,14.25,0,0,7.26,22.24,31.63,21.22,14.49,10.41,0,0,0,10.07,3.6,3.6,7.19,0,3.6,3.6,14.03,0,7.91,23.74,19.06,1.08,2.52,0,0,52500,42679,31.65,9.35,33.81,21.58,6.12,14.03,42.09,57.91,0,93.41,22,0,9,27,88,133,55,0,312,334,6.59
"Block Group 3, Census Tract 5.02, Multnomah County, Oregon",410510005023,502,1211,11593.65,0.104453765808954,60.45,9.91,0.66,16.43,0,10.49,2.06,32.52,20.31,25.97,18.2,2.77,0.22,0,4.62,5.67,0,0,6.12,3.17,6.58,16.78,5.67,18.82,3.17,21.32,7.94,4.31,0,0.45,0,47454,47500,18.37,17.69,29.02,9.52,2.04,16.33,37.87,62.13,6.18,93.97,39,33,42,64,72,218,139,40,608,647,6.03
"Block Group 4, Census Tract 5.02, Multnomah County, Oregon",410510005024,502,1134,8908.158,0.127299045400983,84.3,0,0,0,0,12.87,2.82,27.08,24.8,16.72,24,6.71,0,0.68,2.2,20.28,0,5.02,0,4.22,5.22,8.03,7.83,4.42,14.46,6.02,9.44,11.45,2.81,0,0.8,44659,26923,22.29,9.84,21.69,12.65,6.22,7.23,63.25,36.75,9.68,94.78,34,0,7,29,128,126,264,63,617,651,5.22
"Block Group 5, Census Tract 5.02, Multnomah County, Oregon",410510005025,502,945,9241.819,0.102252597309331,86.24,0,0,11.96,1.38,0,0.42,19.55,22.87,28.06,22.61,5.59,0,1.33,3.14,6.53,8.88,4.96,0,8.62,4.7,1.83,8.62,5.22,10.18,19.58,13.32,4.7,0,2.35,0.52,50208,35536,14.88,27.42,16.97,2.09,4.7,13.84,49.09,50.91,9.2,98.13,11,0,99,79,121,102,121,54,576,587,1.87
"Block Group 1, Census Tract 6.01, Multnomah County, Oregon",410510006011,601,2119,6779.772,0.31254739404198,82.26,0,0,7.93,0.9,5.9,3.02,27.39,17.9,35.4,14.44,4.87,0,0,9.62,16.76,1.22,9.86,5.95,8.78,3.38,4.32,2.3,2.3,8.65,7.7,19.32,1.62,5.14,0,2.7,39500,26765,19.73,9.19,23.11,7.97,3.78,12.3,36.76,63.24,1.76,99.78,2,38,31,90,180,318,233,16,906,908,0.22
