fips,Census Tract,Total Population,Population Density (Per Sq. Mile),"Area (Land, in Sq. Miles)",Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree,% Population: Less than High School,% Population: High School Graduate,% Population: Some College,% Population: Bachelor's Degree,% Population: Master's Degree,% Population: Professional School,% Population: Doctorate Degree,% Civilian Population in Labor Force 16 Years and Over: Unemployed,Median Family Income,% Households: No Earnings,% Households: with Wage or Salary Income,% Households: with Self-Employment Income,"% Households: with Interest, Dividends, or Net Rental Income",% Households: with Social Security Income,% Households: with Supplemental Security Income (Ssi),% Households: with Public Assistance Income,% Households: with Retirement Income,% Households: with Other Types of Income,Per Capita Income (In 2016 Inflation Adjusted Dollars),Gini Index,% Occupied Housing Units: Owner Occupied,Median Gross Rent,"% Households: Less than $40,000","% Households: $40,000 to $75,000","% Households: $75,000 to $125,000","% Households: $125,000 and Over",% Workers with Less than 20 Minute Commute,% Workers with 20 to 40 Minute Commute,% Workers with Over 40 Minute Commute,% Workers with No Commute
41051000100,Census Tract 1,6293,4590.163,1.37097546397898,5687,0,99,142,17,108,240,90.37,0,1.57,2.26,0.27,1.72,3.81,41,509,1533,1385,963,325,117,0.84,10.45,31.46,28.42,19.76,6.67,2.4,4.77,73393,19.12,74.4,22.04,36.8,24.75,2.29,0.99,14.08,7.68,45524,0.4422,57.18,1090,24.12,26.2,22.36,27.33,21.79,52.870000000000005,14,11.35
41051000200,Census Tract 2,6615,7284.93,0.908038956165048,5719,13,72,214,23,71,503,86.46,0.2,1.09,3.24,0.35,1.07,7.6,154,520,1621,1860,646,137,151,3.03,10.22,31.85,36.55,12.69,2.69,2.97,5.64,62260,25.06,73.22,19.81,29.52,27.89,5.64,4.66,9.78,7.53,35973,0.4751,46.5,810,35.91,26.46,21.67,15.969999999999999,27.439999999999998,48.94,12.39,11.23
41051000301,Census Tract 3.01,5431,6194.103,0.876801745799594,4569,84,16,421,23,42,276,84.13,1.55,0.29,7.75,0.42,0.77,5.08,164,612,1028,902,458,100,25,4.99,18.61,31.26,27.42,13.93,3.04,0.76,9.42,41706,22.62,74.84,15.3,23.91,24.96,4.21,3.54,12.29,9.23,24918,0.4707,36.54,1039,46.86,25.83,17.07,10.229999999999999,36.66,42.07,11.780000000000001,9.49
41051000302,Census Tract 3.02,7165,5803.79,1.23453815230032,6634,0,16,232,0,17,266,92.59,0,0.22,3.24,0,0.24,3.71,98,450,1292,1773,1157,364,192,1.84,8.45,24.26,33.29,21.72,6.83,3.6,5.24,103404,17.45,81.27,23.39,42.78,26.43,0.95,0.95,21.19,5.35,53685,0.4512,89.41,1716,17.75,16.759999999999998,27.39,38.12,26.79,47.15,21.14,4.93
41051000401,Census Tract 4.01,3853,7355.778,0.523805901803406,3497,0,0,243,0,23,90,90.76,0,0,6.31,0,0.6,2.34,150,421,658,1077,423,163,93,5.03,14.1,22.04,36.08,14.17,5.46,3.12,6.15,72917,12.61,86.53,16.57,26.4,20.66,1.65,4.49,12.74,6.47,33892,0.3405,72.81,1250,22.18,30.3,29.3,18.21,29.590000000000003,42.150000000000006,19.31,8.94
41051000402,Census Tract 4.02,3313,7329.537,0.452006727444297,2798,25,23,343,0,32,92,84.46,0.75,0.69,10.35,0,0.97,2.78,150,483,784,710,274,65,18,6.04,19.44,31.56,28.58,11.03,2.62,0.72,2.32,72045,15.07,81.54,13.24,25.66,22.21,1.1,1.62,12.79,9.71,31224,0.3096,72.06,1152,21.319999999999997,29.560000000000002,38.82,10.29,30.11,46.95,18.73,4.21
41051000501,Census Tract 5.01,4004,9191.51,0.435619392831164,3169,0,60,386,0,62,327,79.15,0,1.5,9.64,0,1.55,8.17,270,605,1057,633,317,54,52,9.04,20.25,35.37,21.18,10.61,1.81,1.74,10.95,53180,12.68,84.62,15.32,27.75,18.46,7.69,6.22,8.74,10.09,25555,0.4202,59.26,1057,37.11,31.81,21.42,9.67,20.32,54.870000000000005,15.69,9.12
41051000502,Census Tract 5.02,4924,8875.396,0.554792145755115,3751,145,8,560,13,290,157,76.18,2.94,0.16,11.37,0.26,5.89,3.19,913,869,991,724,278,2,16,24.07,22.91,26.13,19.09,7.33,0.05,0.42,2.32,46526,18.5,78.45,15.3,14.68,24.91,9.97,4.34,12.87,13.7,21620,0.3628,47.86,1060,39.42999999999999,41.33,15.450000000000001,3.77,32.72,45.849999999999994,16.72,4.7
41051000601,Census Tract 6.01,5477,6976.465,0.785068116145712,3970,123,4,862,19,326,173,72.48,2.25,0.07,15.74,0.35,5.95,3.16,856,848,1218,527,144,20,7,23.65,23.43,33.65,14.56,3.98,0.55,0.19,5.96,46138,15.48,81.41,11.6,11.03,22.53,7.46,6.47,10.51,12.07,21123,0.4442,55.67,1010,45.93,26.509999999999998,20.15,7.4,33.49,47.93,16.85,1.74
41051000602,Census Tract 6.02,5991,9354.512,0.640439646824619,4080,219,201,1022,0,166,303,68.1,3.66,3.36,17.06,0,2.77,5.06,826,1020,1345,572,200,8,41,20.59,25.42,33.52,14.26,4.99,0.2,1.02,5.68,45938,12.21,85.11,16.43,14.27,16.49,6.23,6.54,9.63,13.45,18204,0.3375,64.14,994,40.7,37.05,15.969999999999999,6.279999999999999,23.57,44.91,24.09,7.42
41051000701,Census Tract 7.01,4755,8646.258,0.549948880072031,3724,128,0,520,0,144,239,78.32,2.69,0,10.94,0,3.03,5.03,370,701,1075,941,430,70,9,10.29,19.49,29.89,26.17,11.96,1.95,0.25,9.49,56118,13.69,83.03,9.19,26.87,21.06,6.57,2.68,14.55,13.74,31378,0.415,60.3,976,33.33,27.529999999999998,25.4,13.739999999999998,33.06,37.92,21.08,7.94
41051000702,Census Tract 7.02,4953,9108.629,0.543770086965654,3799,192,66,563,9,20,304,76.7,3.88,1.33,11.37,0.18,0.4,6.14,291,603,1175,1211,366,76,48,7.72,15.99,31.17,32.12,9.71,2.02,1.27,6.17,54407,16.34,77.79,19.18,20.01,19.52,7.83,5.48,9.25,14.97,26877,0.3797,58.46,1134,34.870000000000005,32.82,23.970000000000002,8.32,24.05,50.96,20.91,4.09
41051000801,Census Tract 8.01,4524,7515.537,0.601952982021538,3927,241,38,181,0,13,124,86.8,5.33,0.84,4,0,0.29,2.74,146,463,1006,1197,626,91,146,3.97,12.6,27.37,32.57,17.03,2.48,3.97,5.54,59832,14.51,79.29,19.92,30.5,20.07,2.46,0.93,10.62,6.89,38901,0.4676,56.42,1117,28.860000000000003,32.760000000000005,21.049999999999997,17.32,24.49,51.959999999999994,16.23,7.33
41051000802,Census Tract 8.02,4771,9281.208,0.514049485943564,4142,74,67,211,0,2,275,86.82,1.55,1.4,4.42,0,0.04,5.76,270,619,971,1233,569,26,11,7.3,16.73,26.25,33.33,15.38,0.7,0.3,8.69,57525,11.88,83.65,19.93,18.35,17.56,1.96,4.8,12.67,11.27,29346,0.3954,37.45,998,34.17999999999999,34.66,22.4,8.76,23.46,48.2,20.83,7.51
41051000901,Census Tract 9.01,4172,9585.885,0.435223251999623,3480,22,21,289,0,41,319,83.41,0.53,0.5,6.93,0,0.98,7.65,139,343,717,1157,656,192,118,4.18,10.33,21.58,34.83,19.75,5.78,3.55,4.69,74487,11.05,85.37,19.45,31.8,15.22,2.65,1.9,8.67,5.53,45407,0.4612,52.17,1188,23.94,26.490000000000002,26.38,23.19,28.919999999999998,44.54,15.439999999999998,11.09
41051000902,Census Tract 9.02,4385,11338.12,0.386748510031707,3332,375,59,370,27,62,160,75.99,8.55,1.35,8.44,0.62,1.41,3.65,350,424,878,830,384,148,63,11.37,13.78,28.53,26.97,12.48,4.81,2.05,7.09,45149,15.06,79.19,19.55,17.38,17.08,6.9,6.8,7.25,13.55,27713,0.4887,35.57,892,48.72,24.64,16.98,9.68,28.7,45.67,17.67,7.96
41051001e3,Census Tract 10,5896,6048.608,0.974769767273053,5333,98,12,294,0,45,114,90.45,1.66,0.2,4.99,0,0.76,1.93,256,343,1526,1538,714,188,17,5.59,7.49,33.3,33.57,15.58,4.1,0.37,5.65,61013,15.83,77.95,18.88,32.06,15.72,3.36,2.42,9.73,14.39,30764,0.4118,39.6,1072,33.11,29.200000000000003,21.740000000000002,15.94,33.41,45.87,15.200000000000001,5.52
41051001101,Census Tract 11.01,2106,3874.906,0.543497112727935,1715,145,10,114,0,14,108,81.43,6.89,0.47,5.41,0,0.66,5.13,111,292,448,674,290,41,14,5.94,15.61,23.96,36.04,15.51,2.19,0.75,15.71,24194,26.08,69.73,12.71,13.89,20.72,10.07,8.6,7.27,5.14,28778,0.5407,10.65,758,63.779999999999994,22.27,8.82,5.1499999999999995,41.18,37.03,13.34,8.45
